"Flight Operator","Flight Number ","Price on Cleartrip"
"IndiGo","6E-2053","₹6,368","₹6,368"
"SpiceJet","SG-8198","₹7,120","₹7,120"
"IndiGo","6E-2406","₹7,142","₹7,142"
"IndiGo","6E-6813","₹7,142","₹7,142"
"Air Asia","I5-1532","₹7,414","₹7,414"
"IndiGo","6E-735","₹7,457","₹7,457"
"IndiGo","6E-2339","₹7,457","₹7,561"
"Air India","AI-509","₹7,561","₹7,768"
"IndiGo","6E-2174","₹7,768","₹7,768"
"SpiceJet","SG-8136","₹8,170","₹7,768"
"IndiGo","6E-6247","₹8,297","₹8,170"
"IndiGo","6E-5021","₹8,529","₹8,529"
"Air India","AI-503","₹8,611","₹8,611"
"Air India","AI-804","₹8,611","₹8,611"
"Air India","AI-513","₹8,611","₹8,611"
"Air India","AI-808","₹8,611","₹8,611"
"Vistara","UK-814","₹8,926","₹8,926"
"Vistara","UK-818","₹8,926","₹8,926"
"IndiGo","6E-122","₹9,515","₹9,515"
"IndiGo","6E-861","₹9,515","₹9,515"
"IndiGo","6E-5039","₹9,515","₹9,515"
